Date,AssetCode,AssetName,Market,Source,Open,High,Low,Close,Volume,Value
2026-02-06,KRW=X,USD/KRW,FX,yfinance,1471.5,1473.8800048828125,1461.43994140625,1470.6800537109375,0,
2026-02-06,KS11,KOSPI,KR_INDEX,FinanceDataReader,5013.15,5120.77,4899.3,5089.14,745763942,
2026-02-06,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,389.20001220703125,403.0799865722656,387.19000244140625,401.6499938964844,13460300,
2026-02-06,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,337.3999938964844,349.55999755859375,335.8699951171875,348.510009765625,9096100,
2026-02-06,^GSPC,S&P 500,US_INDEX,yfinance,6816.740234375,6944.89013671875,6816.740234375,6932.2998046875,6283680000,
2026-02-06,^IXIC,NASDAQ Composite,US_INDEX,yfinance,22625.30078125,23088.4609375,22586.400390625,23031.2109375,9054400000,
2026-02-09,000660,SK Hynix,KR_STOCK,FinanceDataReader,898000.0,899000.0,873000.0,887000.0,4228584,
2026-02-09,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,168600.0,168700.0,165000.0,166400.0,25098971,
2026-02-09,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,202500.0,203000.0,193700.0,197800.0,1365865,
2026-02-09,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1109.91,1131.72,1106.07,1127.55,1134870798,
2026-02-09,KRW=X,USD/KRW,FX,yfinance,1461.56005859375,1467.9599609375,1452.8199462890625,1462.4000244140625,0,
2026-02-09,KS11,KOSPI,KR_INDEX,FinanceDataReader,5299.1,5322.35,5265.08,5298.04,617657784,
2026-02-09,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,398.9100036621094,409.69000244140625,397.0,406.6499938964844,5915200,
2026-02-09,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,344.8399963378906,354.739990234375,343.8800048828125,352.7699890136719,7091400,
2026-02-09,^GSPC,S&P 500,US_INDEX,yfinance,6917.259765625,6980.10009765625,6905.8701171875,6964.81982421875,5650260000,
2026-02-09,^IXIC,NASDAQ Composite,US_INDEX,yfinance,22952.240234375,23314.669921875,22878.369140625,23238.669921875,8174050000,
2026-02-10,000660,SK Hynix,KR_STOCK,FinanceDataReader,894000.0,905000.0,876000.0,876000.0,3441377,
2026-02-10,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,167400.0,168100.0,165500.0,165800.0,19369566,
